,index,Movie,P_Genre,S_Genre,T_Genre,Cluster_Id
0,0,thor: love and thunder,2,15,13,8
1,1,shamshera,2,15,0,6
2,2,everything everywhere all at once,2,15,13,8
3,3,jurassic world dominion,2,15,17,2
4,4,shazam! fury of the gods,2,15,13,8
5,5,bullet train,2,5,18,85
6,6,dc league of super-pets,0,2,10,29
7,7,dungeons &amp; dragons: honor among thieves,2,15,1,34
8,8,doctor strange in the multiverse of madness,2,15,1,34
9,9,john wick: chapter 4,2,8,18,22
10,10,prey,2,4,5,26
11,11,ant-man and the wasp: quantumania,2,15,13,8
12,12,black adam,2,9,17,90
13,13,the batman,2,8,0,9
14,14,the northman,2,15,0,6
15,15,spider-man: no way home,2,15,1,34
16,16,guardians of the galaxy vol. 3,2,15,13,8
17,17,samaritan,2,4,1,84
18,18,the lost city,2,15,13,8
19,19,black panther,2,15,17,2
20,20,lightyear,0,2,10,29
21,21,the man from toronto,2,15,13,8
22,22,paws of fury: the legend of hank,0,2,13,67
23,23,no time to die,2,15,18,56
24,24,the unbearable weight of massive talent,2,5,2,17
25,25,avengers: endgame,2,15,0,6
26,26,spiderhead,2,8,0,9
27,27,fantastic beasts: the secrets of dumbledore,2,15,1,34
28,28,blade runner 2049,2,4,8,72
29,29,the princess,2,4,1,84
30,30,dune: part one,2,15,0,6
31,31,jurassic park,2,15,17,2
32,32,john wick,2,8,18,22
33,33,eternals,2,15,1,34
34,34,thor: ragnarok,2,15,13,8
35,35,heat,2,8,0,9
36,36,deadpool,2,15,13,8
37,37,the dark knight,2,8,0,9
38,38,morbius,2,15,5,38
39,39,thirteen lives,2,15,7,15
40,40,the lord of the rings: the fellowship of the ring,2,15,0,6
41,41,inception,2,15,17,2
42,42,shazam!,2,15,13,8
43,43,avatar: the way of water,2,15,17,2
44,44,resident evil: welcome to raccoon city,2,1,17,12
45,45,free guy,2,15,13,8
46,46,ambulance,2,8,0,9
47,47,terminator: dark fate,2,15,17,2
48,48,expend4bles,2,15,18,56
49,49,deadpool 2,2,15,13,8
50,50,tenet,2,13,18,87
51,51,fantastic four,2,15,17,2
52,52,the gentlemen,2,5,2,17
53,53,avengers: infinity war,2,15,17,2
54,54,shang-chi and the legend of the ten rings,2,15,1,34
55,55,the king's man,2,15,18,56
56,56,nobody,2,8,0,9
57,57,blade,2,15,1,34
58,58,sonic the hedgehog 2,2,15,13,8
59,59,thor,2,15,1,34
60,60,guardians of the galaxy,2,15,13,8
61,61,gladiator,2,15,0,6
62,62,wrath of man,2,8,18,22
63,63,john wick: chapter 3 - parabellum,2,8,18,22
64,64,the adam project,2,15,13,8
65,65,logan,2,4,17,64
66,66,the hunger games,2,15,17,2
67,67,star wars,2,15,1,34
68,68,the marvels,2,15,1,34
69,69,pirates of the caribbean: the curse of the black pearl,2,15,1,34
70,70,the suicide squad,2,15,13,8
71,71,ek villain returns,2,12,18,87
72,72,12 strong,2,4,12,19
73,73,mad max: fury road,2,15,17,2
74,74,jurassic world: fallen kingdom,2,15,17,2
75,75,jurassic world,2,15,17,2
76,76,kingsman: the secret service,2,15,13,8
77,77,chips,2,5,2,17
78,78,day shift,2,5,1,57
79,79,avatar,2,15,1,34
80,80,the lord of the rings: the return of the king,2,15,0,6
81,81,john wick: chapter 2,2,8,18,22
82,82,mission: impossible - fallout,2,15,18,56
83,83,memory,2,8,18,22
84,84,moonfall,2,15,17,2
85,85,black widow,2,15,17,2
86,86,léon,2,8,0,9
87,87,interceptor,2,15,0,6
